Id,Source language,Source text - Questions,Bosnian translation - Questions,Source Text - Answers,Bosnian translation - Answers,Category,Intent
114,English,Which hotels in Sarajevo have the highest ratings?,Koji hoteli u Sarajevu imaju najbolje ocjene?,Radon Plaza and Hotel Europe in Sarajevo have the highest ratings.,Radon Plaza i Hotel Europe u Sarajevu imaju najviše ocjene.,Accommodation,ask_hotel_reviews
115,English,Do you have any information about customer reviews for the hotels in Zenica?,Imate li informacije o recenzijama korisnika za hotele u Zenici?,"Reviews for hotels in Zenica, like Hotel Dubrovnik, are generally positive, highlighting comfort and service.","Recenzije za hotele u Zenici, kao što je Hotel Dubrovnik, su uglavnom pozitivne, ističući udobnost i uslugu.",Accommodation,ask_hotel_reviews
116,English,What is the cancellation policy for hotels in Sarajevo?,Kakva je politika otkazivanja za hotele u Sarajevu?,Hotel Europe in Sarajevo offers free cancellation up to 24 hours before check-in.,Hotel Europe u Sarajevu nudi besplatan otkaz rezervacije do 24 sata prije prijave.,Accommodation,ask_hotel_policies
117,English,Do I need a deposit to book a hotel in Mostar?,Trebam li depozit za rezervaciju hotela u Mostaru?,"Some hotels in Mostar, like Hotel Mepas, require a deposit for booking, especially during peak seasons.","Neki hoteli u Mostaru, poput Hotel Mepas, zahtijevaju depozit za rezervaciju, posebno tokom glavne sezone.",Accommodation,ask_hotel_policies
118,English,What is the pet policy for hotels in Banja Luka?,Koja je politika za kućne ljubimce u hotelima u Banja Luci?,Hotel Bosna in Banja Luka allows pets with certain restrictions.,Hotel Bosna u Banja Luci dozvoljava kućne ljubimce uz određena ograničenja.,Accommodation,ask_hotel_policies
119,English,Are there any restrictions on smoking in hotels in Sarajevo?,Ima li ograničenja u vezi s pušenjem u hotelima u Sarajevu?,"Yes, many hotels in Sarajevo have designated non-smoking rooms, including Hotel Europe.","Da, mnogi hoteli u Sarajevu imaju označene sobe za nepušače, uključujući Hotel Europe.",Accommodation,ask_hotel_policies
120,English,Is it possible to change the dates of my hotel booking in Mostar?,Mogu li promijeniti datume svoje rezervacije u hotelu u Mostaru?,"Yes, you can change the dates of your booking at Hotel Mepas in Mostar, subject to availability.","Da, možete promijeniti datum svoje rezervacije u Hotelu Mepas u Mostaru, u zavisnosti od dostupnosti.",Accommodation,ask_hotel_policies
121,English,Are there any special offers for hotels in Sarajevo this season?,Ima li specijalnih ponuda za hotele u Sarajevu ove sezone?,Radon Plaza in Sarajevo offers special seasonal promotions.,Radon Plaza u Sarajevu nudi posebne sezonske promocije.,Accommodation,ask_hotel_special_offers
122,English,Can I get a discount on hotel bookings in Banja Luka?,Mogu li dobiti popust na rezervacije hotela u Banja Luci?,"Yes, Hotel Bosna in Banja Luka offers discounts for early bookings.","Da, Hotel Bosna u Banja Luci nudi popuste za rane rezervacije.",Accommodation,ask_hotel_special_offers
123,English,Does the hotel in Sarajevo offer seasonal promotions?,Nudi li hotel u Sarajevu sezonske promocije?,Hotel Europe in Sarajevo offers seasonal promotions with up to 20% off.,Hotel Europe u Sarajevu nudi sezonske promocije sa popustima do 20%.,Accommodation,ask_hotel_special_offers
124,English,Are there any special deals for group bookings in hotels in Mostar?,Ima li specijalnih ponuda za grupne rezervacije u hotelima u Mostaru?,"Yes, Hotel Mepas in Mostar has special deals for group bookings.","Da, Hotel Mepas u Mostaru ima posebne ponude za grupne rezervacije.",Accommodation,ask_hotel_special_offers
125,English,Do any hotels near the airport in Tuzla have promotional rates?,Ima li hotela blizu aerodroma u Tuzli promotivnih cijena?,"Yes, Hotel Mepas near Tuzla Airport offers promotional rates.","Da, Hotel Mepas blizu Tuzla Aerodroma nudi promotivne cijene.",Accommodation,ask_hotel_special_offers
126,English,Does the hotel provide a shuttle from the airport to Sarajevo?,Nudi li hotel uslugu prijevoza s aerodroma do Sarajeva?,"Yes, Hotel Europe offers a shuttle service from Sarajevo Airport.","Da, Hotel Europe nudi uslugu prevoza sa sarajevskog aerodroma.",Accommodation,ask_hotel_transportation
127,English,Is there a taxi service available at the hotel in Mostar?,Ima li usluga taksija u hotelu u Mostaru?,"Yes, Hotel Mostar has a taxi service available for guests.","Da, Hotel Mostar ima taksi službu dostupnu za goste.",Accommodation,ask_hotel_transportation
128,English,Can I rent a bike at the hotel in Banja Luka?,Mogu li iznajmiti bicikl u hotelu u Banja Luci?,"Yes, you can rent a bike at Hotel Bosna in Banja Luka.","Da, možete iznajmiti bicikl u Hotelu Bosna u Banja Luci.",Accommodation,ask_hotel_transportation
129,English,Are there public transportation options close to hotels in Sarajevo?,Ima li opcija javnog prijevoza u blizini hotela u Sarajevu?,"Yes, there are public transportation options close to hotels like Hotel Europe in Sarajevo.","Da, u blizini hotela kao što je Hotel Europe u Sarajevu postoje opcije za javni prevoz.",Accommodation,ask_hotel_transportation
130,English,Is there a free shuttle service to the city center from the hotel in Zenica?,Ima li besplatan shuttle servis do centra grada iz hotela u Zenici?,"Yes, Hotel Dubrovnik in Zenica provides a free shuttle service to the city center.","Da, Hotel Dubrovnik u Zenici nudi besplatan prevoz do centra grada.",Accommodation,ask_hotel_transportation
131,English,"""Can you recommend a good restaurant in Sarajevo?""",Možete li preporučiti dobar restoran u Sarajevu?,"Yes, I can recommend a good restaurant in Sarajevo. Some popular ones include 4 Sobe Gospođe Safije and Avlija.","Da, mogu preporučiti dobar restoran u Sarajevu. Neki od popularnih su 4 Sobe Gospođe Safije i Avlija.",Food and restaurants,ask_restaurant_general
132,English,"""What are some top-rated restaurants in Mostar?""",Koji su neki od najboljih restorana u Mostaru?,"Top-rated restaurants in Mostar include Sadrvan, OKC Abrasevic, and Šadrvan.","Neki od najboljih restorana u Mostaru su Sadrvan, OKC Abrasevic i Šadrvan.",Food and restaurants,ask_restaurant_general
133,English,"""Are there any good vegetarian restaurants in Banja Luka?""",Postoje li dobri restorani za vegetarijance u Banja Luci?,"Yes, Banja Luka has good vegetarian restaurants like Zeleni Pub and Restoran Modo.","Da, Banja Luka ima dobre restorane za vegetarijance kao što su Zeleni Pub i Restoran Modo.",Food and restaurants,ask_restaurant_general
134,English,"""Where can I find authentic Bosnian cuisine?""",Gdje mogu pronaći autentičnu bosansku kuhinju?,"Authentic Bosnian cuisine can be found in many restaurants throughout Bosnia, including Avlija in Sarajevo and Sadrvan in Mostar.","Autentičnu bosansku kuhinju možete naći u mnogim restoranima širom Bosne, uključujući Avliju u Sarajevu i Sadrvan u Mostaru.",Food and restaurants,ask_restaurant_general
135,English,"""Which restaurant in Neum has the best seafood?""",Koji restoran u Neumu ima najbolje morske plodove?,Some of the best seafood in Neum can be found at Restaurant Orka and Konoba Bura.,Najbolje morske plodove u Neumu možete naći u restoranima kao što su Restoran Orka i Konoba Bura.,Food and restaurants,ask_restaurant_general
136,English,"""Do you know any Italian restaurants in Sarajevo?""",Poznajete li italijanske restorane u Sarajevu?,"Yes, there are several Italian restaurants in Sarajevo such as Dveri and La Cantinetta.","Da, postoji nekoliko italijanskih restorana u Sarajevu kao što su Dveri i La Cantinetta.",Food and restaurants,ask_cuisine
137,English,"""Where can I get sushi in Mostar?""",Gdje mogu nabaviti sushi u Mostaru?,Sushi can be found in Mostar at restaurants like Sushi Shop Mostar.,Sushi možete naći u Mostaru u restoranima kao što je Sushi Shop Mostar.,Food and restaurants,ask_cuisine
138,English,"""Are there any vegan-friendly restaurants in Banja Luka?""",Postoje li restorani koji su prilagođeni veganskoj ishrani u Banja Luci?,"Yes, Banja Luka has vegan-friendly restaurants, including Zeleni Pub and Restoran Stara Ada.","Da, Banja Luka ima restorane koji su prilagođeni veganskoj ishrani, uključujući Zeleni Pub i Restoran Stara Ada.",Food and restaurants,ask_cuisine
139,English,"""Is there a good restaurant serving Middle Eastern food in Sarajevo?""",Ima li dobrih restorana koji poslužuju Bliskoistočnu hranu u Sarajevu?,"Yes, Sarajevo has great Middle Eastern food at places like Liban and Restaurant Divan.","Da, Sarajevo ima odličnu ponudu Bliskoistočne hrane u restoranima kao što su Liban i Restoran Divan.",Food and restaurants,ask_cuisine
140,English,"""Can you recommend a place for Italian food in Bosnia and Herzegovina?""",Možete li preporučiti mjesto za italijansku hranu u Bosni i Hercegovini?,"Yes, for Italian food in Bosnia, I recommend places like La Cantinetta in Sarajevo and Trattoria Stari Grad in Mostar.","Da, za italijansku hranu u Bosni, preporučujem restorane kao što su La Cantinetta u Sarajevu i Trattoria Stari Grad u Mostaru.",Food and restaurants,ask_cuisine
141,English,"""What are top 5 best traditional meals served in Bosnia and Herzegovina?""",Koja su top 5 najboljih tradicionalnih jela koja se poslužuju u Bosni i Hercegovini?,"Top 5 traditional meals in Bosnia and Herzegovina include ćevapi, burek, sarma, japrak, and pita.","Top 5 tradicionalnih jela u Bosni i Hercegovini su ćevapi, burek, sarma, japrak i pita.",Food and restaurants,ask_chef_special
142,English,"""What’s the most popular dish served in Mostar?""",Koje je najpopularnije jelo u Mostaru?,The most popular dish served in Mostar is ćevapi.,Najpopularnije jelo u Mostaru su ćevapi.,Food and restaurants,ask_chef_special
143,English,"""Is there a signature dish at any restaurant in Neum?""",Ima li potpisnog jela u nekom restoranu u Neumu?,"Yes, several restaurants in Neum offer signature seafood dishes, including Restaurant Orka.","Da, nekoliko restorana u Neumu nudi potpisna jela od morskih plodova, uključujući Restoran Orka.",Food and restaurants,ask_chef_special
144,English,"""What’s the recommended dish in a restaurant near the Old Bridge in Mostar?""",Koje jelo je preporučeno u restoranu blizu Starog Mosta u Mostaru?,"Recommended dishes near the Old Bridge in Mostar include grilled fish, ćevapi, and traditional Bosnian pitas.","Preporučena jela u restoranima blizu Starog Mosta u Mostaru uključuju pečenu ribu, ćevape i tradicionalne bosanske pite.",Food and restaurants,ask_chef_special
145,English,"""Are there any restaurants in Sarajevo with gluten-free meals?""",Ima li restorana u Sarajevu koji nude obroke bez glutena?,"Yes, some restaurants in Sarajevo offer gluten-free meals, such as Avlija and Avlija 2.","Da, neki restorani u Sarajevu nude bezglutenske obroke, kao što su Avlija i Avlija 2.",Food and restaurants,ask_dietary_restrictions
146,English,"""Do restaurants in Mostar offer vegetarian or vegan options?""",Nude li restorani u Mostaru vegetarijanske ili veganske opcije?,"Yes, many restaurants in Mostar offer vegetarian and vegan options.","Da, mnogi restorani u Mostaru nude vegetarijanske i veganske opcije.",Food and restaurants,ask_dietary_restrictions
147,English,"""Which restaurants in Banja Luka have halal food?""",Koji restorani u Banja Luci imaju halal hranu?,"Several restaurants in Banja Luka offer halal food, such as Restoran Modo and Restoran Stara Ada.","Nekoliko restorana u Banja Luci nudi halal hranu, kao što su Restoran Modo i Restoran Stara Ada.",Food and restaurants,ask_dietary_restrictions
148,English,"""Is there a restaurant in Zenica with low-carb options?""",Ima li restorana u Zenici koji nude opcije sa niskim udjelom ugljikohidrata?,"Yes, some restaurants in Zenica offer low-carb options, such as Restoran Pizzeria Stari Grad.","Da, neki restorani u Zenici nude opcije sa niskim udjelom ugljikohidrata, kao što je Restoran Pizzeria Stari Grad.",Food and restaurants,ask_dietary_restrictions
149,English,"""Where can I find a restaurant in Sarajevo that serves dairy-free meals?""",Gdje mogu pronaći restoran u Sarajevu koji poslužuje obroke bez mliječnih proizvoda?,"Yes, there are dairy-free meals available at many restaurants in Sarajevo, including Avlija and Liban.","Da, mnogi restorani u Sarajevu nude obroke bez mliječnih proizvoda, kao što su Avlija i Liban.",Food and restaurants,ask_dietary_restrictions
150,English,"""Can I make a reservation at a restaurant in Sarajevo for tomorrow night?""",Mogu li napraviti rezervaciju u restoranu u Sarajevu za sutra navečer?,"Yes, you can make a reservation at a restaurant in Sarajevo for tomorrow night.","Da, možete napraviti rezervaciju u restoranu u Sarajevu za sutra navečer.",Food and restaurants,ask_reservation
151,English,"""Do I need to book a table in advance for a restaurant in Mostar?""",Trebam li unaprijed rezervisati sto za restoran u Mostaru?,"Yes, booking a table in advance is recommended in Mostar.","Da, preporučuje se unaprijed rezervisanje stola u Mostaru.",Food and restaurants,ask_reservation
152,English,"""Can I reserve a table at the restaurant in Banja Luka for a group of 10?""",Mogu li rezervisati sto u restoranu u Banja Luci za grupu od 10 osoba?,"Yes, you can reserve a table at a restaurant in Banja Luka for a group of 10.","Da, možete rezervisati sto za 10 osoba u restoranu u Banja Luci.",Food and restaurants,ask_reservation
153,English,"""Is it necessary to book a table for dinner at a restaurant in Neum?""",Da li je potrebno rezervisati sto za večeru u restoranu u Neumu?,"It's recommended to book a table in Neum for dinner, especially during peak season.","Preporučuje se da rezervišete sto za večeru u Neumu, posebno tokom vrhunske sezone.",Food and restaurants,ask_reservation
154,English,"""How can I reserve a table at the top restaurant in Sarajevo?""",Kako mogu rezervisati sto u najboljem restoranu u Sarajevu?,You can reserve a table at top restaurants in Sarajevo by calling ahead or booking online.,Sto u najboljim restoranima u Sarajevu možete rezervisati pozivom ili online putem.,Food and restaurants,ask_reservation
155,English,"""What time does the restaurant in Sarajevo open?""",U koliko sati restoran u Sarajevu otvara?,The restaurant in Sarajevo usually opens around 10 AM.,Restoran u Sarajevu obično otvara u 10 sati ujutro.,Food and restaurants,ask_opening_hours
156,English,"""What are the opening hours for restaurants in Mostar?""",Koji su radni sati restorana u Mostaru?,Restaurants in Mostar generally open from 9 AM to 10 PM.,Restorani u Mostaru obično rade od 9 ujutro do 10 uvečer.,Food and restaurants,ask_opening_hours
157,English,"""Do restaurants in Banja Luka stay open late?""",Da li restorani u Banja Luci ostaju otvoreni do kasno?,"Yes, many restaurants in Banja Luka stay open late, especially in the weekends.","Da, mnogi restorani u Banja Luci ostaju otvoreni do kasno, posebno vikendom.",Food and restaurants,ask_opening_hours
158,English,"""Is the restaurant in Zenica open on Sundays?""",Da li restoran u Zenici radi nedjeljom?,"Some restaurants in Zenica are open on Sundays, but it's best to check.","Neki restorani u Zenici su otvoreni nedeljom, ali je najbolje provjeriti.",Food and restaurants,ask_opening_hours
159,English,"""When does the restaurant near the Old Bridge in Mostar close?""",Kada restoran blizu Starog Mosta u Mostaru zatvara?,The restaurant near the Old Bridge in Mostar typically closes around midnight.,Restoran blizu Starog Mosta u Mostaru obično se zatvara oko ponoći.,Food and restaurants,ask_opening_hours
160,English,"""Where is the best restaurant in Sarajevo?""",Gdje je najbolji restoran u Sarajevu?,"The best restaurant in Sarajevo is subjective, but top choices include 4 Sobe Gospođe Safije and Avlija.","Najbolji restoran u Sarajevu je subjektivno, ali top izbori uključuju 4 Sobe Gospođe Safije i Avliju.",Food and restaurants,ask_location
161,English,"""Can you tell me where the seafood restaurant is in Neum?""",Možete li mi reći gdje se nalazi restoran sa morskim plodovima u Neumu?,"The seafood restaurant in Neum is located along the main promenade, like Restaurant Orka.","Restoran sa morskim plodovima u Neumu je lociran duž glavne promenade, poput Restorana Orka.",Food and restaurants,ask_location
162,English,"""What’s the address of the popular restaurant in Banja Luka?""",Koja je adresa popularnog restorana u Banja Luci?,Popular restaurants in Banja Luka include Restoran Modo and Restoran Stara Ada.,Popularni restorani u Banja Luci uključuju Restoran Modo i Restoran Stara Ada.,Food and restaurants,ask_location
163,English,"""Is there a restaurant near the city center in Mostar?""",Ima li restorana blizu centra grada u Mostaru?,"Yes, there are many restaurants near the city center in Mostar.","Da, postoji mnogo restorana blizu centra grada u Mostaru.",Food and restaurants,ask_location
164,English,"""How do I get to the restaurant by the river in Zenica?""",Kako doći do restorana uz rijeku u Zenici?,"To reach the restaurant by the river in Zenica, you can use public transport or drive to the city center.","Da biste došli do restorana uz rijeku u Zenici, možete koristiti javni prevoz ili voziti do centra grada.",Food and restaurants,ask_location
165,English,"""Is there parking available at the restaurant in Sarajevo?""",Da li je dostupno parking mjesto kod restorana u Sarajevu?,"Yes, parking is available at many restaurants in Sarajevo.","Da, parking je dostupan u mnogim restoranima u Sarajevu.",Food and restaurants,ask_parking
166,English,"""Can I park near the restaurant in Mostar?""",Mogu li parkirati blizu restorana u Mostaru?,Parking near restaurants in Mostar is available in nearby lots or on the street.,Parking u blizini restorana u Mostaru dostupan je u obližnjim parkingima ili na ulici.,Food and restaurants,ask_parking
167,English,"""Does the restaurant in Banja Luka offer free parking?""",Nudi li restoran u Banja Luci besplatan parking?,Many restaurants in Banja Luka offer free parking.,Mnogi restorani u Banja Luci nude besplatan parking.,Food and restaurants,ask_parking
168,English,"""Is parking available for customers at the restaurant in Zenica?""",Da li je parking dostupan za posjetitelje u restoranu u Zenici?,"Yes, parking is available at many restaurants in Zenica.","Da, parking je dostupan u mnogim restoranima u Zenici.",Food and restaurants,ask_parking
169,English,"""Where can I park when dining at a restaurant in Neum?""",Gdje mogu parkirati kada jedem u restoranu u Neumu?,Restaurants in Neum typically offer parking close to the dining area.,Restorani u Neumu obično nude parking u blizini restorana.,Food and restaurants,ask_parking
170,English,"""Do you have any special offers for dinner at restaurants in Sarajevo?""",Da li imate neke specijalne ponude za večeru u restoranima u Sarajevu?,"Yes, some restaurants in Sarajevo offer special dinner offers, especially during holidays.","Da, neki restorani u Sarajevu nude specijalne ponude za večere, posebno tokom praznika.",Food and restaurants,ask_special_offers
171,English,"""Are there any discounts available at restaurants in Mostar this weekend?""",Ima li popusta u restoranima u Mostaru ovaj vikend?,"Yes, some restaurants in Mostar offer discounts, especially during weekdays or low seasons.","Da, neki restorani u Mostaru nude popuste, posebno tokom radnih dana ili u vansezoni.",Food and restaurants,ask_special_offers
172,English,"""Is there a happy hour at restaurants in Banja Luka?""",Ima li happy hour u restoranima u Banja Luci?,"Yes, some restaurants in Banja Luka offer happy hour deals.","Da, neki restorani u Banja Luci nude happy hour ponude.",Food and restaurants,ask_special_offers
173,English,"""Do restaurants in Zenica offer lunch specials?""",Nude li restorani u Zenici specijalne ponude za ručak?,"Yes, many restaurants in Zenica offer lunch specials.","Da, mnogi restorani u Zenici nude ručkove sa specijalnim ponudama.",Food and restaurants,ask_special_offers
174,English,"""Are there any ongoing promotions at restaurants in Neum?""",Ima li trenutnih promocija u restoranima u Neumu?,Some restaurants in Neum may offer ongoing promotions or seasonal discounts.,Neki restorani u Neumu mogu imati promotivne akcije ili sezonske popuste.,Food and restaurants,ask_special_offers
175,English,"""Does the restaurant in Sarajevo offer delivery?""",Da li restoran u Sarajevu nudi dostavu?,"Yes, some restaurants in Sarajevo offer delivery, especially through food apps.","Da, neki restorani u Sarajevu nude dostavu, posebno putem aplikacija za hranu.",Food and restaurants,ask_delivery
176,English,"""Can I get food delivered from the restaurant in Mostar?""",Mogu li dobiti hranu iz restorana u Mostaru dostavom?,"Yes, some restaurants in Mostar provide food delivery, including through popular platforms.","Da, neki restorani u Mostaru nude uslugu dostave, uključujući popularne platforme.",Food and restaurants,ask_delivery
177,English,"""Do restaurants in Banja Luka provide home delivery?""",Nude li restorani u Banja Luci uslugu dostave na kućnu adresu?,"Yes, some restaurants in Banja Luka provide home delivery.","Da, neki restorani u Banja Luci nude dostavu na kućnu adresu.",Food and restaurants,ask_delivery
178,English,"""Is there food delivery from restaurants in Zenica?""",Da li restorani u Zenici nude dostavu?,"Yes, food delivery is available from many restaurants in Zenica.","Da, usluga dostave je dostupna u mnogim restoranima u Zenici.",Food and restaurants,ask_delivery
179,English,"""Which restaurants in Neum offer delivery services?""",Koji restorani u Neumu nude usluge dostave?,"Yes, restaurants in Neum like Restaurant Orka offer delivery services.","Da, restorani u Neumu kao što je Restoran Orka nude usluge dostave.",Food and restaurants,ask_delivery
180,English,"""Can I pay with a credit card at the restaurant in Sarajevo?""",Mogu li platiti kreditnom karticom u restoranu u Sarajevu?,"Yes, you can pay with a credit card at many restaurants in Sarajevo.","Da, možete platiti kreditnom karticom u mnogim restoranima u Sarajevu.",Food and restaurants,ask_payment_methods
181,English,"""Does the restaurant in Mostar accept digital payments?""",Da li restoran u Mostaru prihvata digitalna plaćanja?,Many restaurants in Mostar accept digital payments like credit cards and mobile apps.,Mnogi restorani u Mostaru prihvataju digitalna plaćanja kao što su kreditne kartice i mobilne aplikacije.,Food and restaurants,ask_payment_methods
182,English,"""Is there a restaurant in Banja Luka where I can pay via mobile app?""",Ima li restoran u Banja Luci gdje mogu platiti putem mobilne aplikacije?,"Yes, some restaurants in Banja Luka accept payment via mobile apps.","Da, neki restorani u Banja Luci prihvataju plaćanje putem mobilnih aplikacija.",Food and restaurants,ask_payment_methods
183,English,"""Can I pay with cash at the restaurant in Zenica?""",Mogu li platiti gotovinom u restoranu u Zenici?,"Yes, cash payments are accepted at most restaurants in Zenica.","Da, restorani u Zenici prihvataju plaćanje gotovinom.",Food and restaurants,ask_payment_methods
184,English,"""What payment methods are accepted at the restaurant in Neum?""",Koje metode plačanja se prihvataju u restoranu u Neumu?,"Payment methods at restaurants in Neum typically include credit cards, mobile apps, and cash.","Na restoranima u Neumu obično se prihvataju kreditne kartice, mobilne aplikacije i gotovina.",Food and restaurants,ask_payment_methods
185,English,"""What do customers say about the restaurant in Sarajevo?""",Šta kupci kažu o restoranu u Sarajevu?,"Reviews for the restaurant in Sarajevo are generally positive, highlighting good food and ambiance.","Recenzije za restoran u Sarajevu su uglavnom pozitivne, s naglaskom na dobru hranu i ambijent.",Food and restaurants,ask_reviews
186,English,"""How are the reviews for the restaurant in Mostar?""",Kakve su recenzije za restoran u Mostaru?,"Reviews for the restaurant in Mostar are mostly favorable, especially for its traditional dishes.","Recenzije za restoran u Mostaru su uglavnom povoljne, posebno za tradicionalna jela.",Food and restaurants,ask_reviews
187,English,"""Is the restaurant in Banja Luka highly rated?""",Da li je restoran u Banja Luci visoko ocijenjen?,"Yes, the restaurant in Banja Luka is highly rated for its service and quality.","Da, restoran u Banja Luci ima visoke ocene zbog usluge i kvaliteta.",Food and restaurants,ask_reviews
188,English,"""What do people think about the food at restaurants in Zenica?""",Šta ljudi misle o hrani u restoranima u Zenici?,"Restaurants in Zenica are generally well-reviewed, especially for their local dishes.","Restorani u Zenici uglavnom imaju dobre recenzije, posebno za lokalna jela.",Food and restaurants,ask_reviews
189,English,"""Can you tell me the reviews for a restaurant near the Old Bridge in Mostar?""",Možete li mi reći recenzije za restoran blizu Starog Mosta u Mostaru?,Reviews for the restaurant near the Old Bridge in Mostar often mention great service and traditional Bosnian cuisine.,Recenzije za restoran blizu Starog Mosta u Mostaru često spominju odličnu uslugu i tradicionalnu bosansku kuhinju.,Food and restaurants,ask_reviews
190,English,"""Where can I go hiking near Sarajevo?""",Gdje mogu ići na planinarenje u blizini Sarajeva?,Trebević Mountain is a popular hiking spot close to Sarajevo.,Planina Trebević je popularno mjesto za planinarenje blizu Sarajeva.,Activities and attractions,ask_hiking
191,English,"""Are there guided hiking tours in Bosnia?""",Postoje li vođene pješačke ture u Bosni?,"Yes, many tour operators offer guided hikes in areas like Sutjeska National Park.","Da, mnogi turistički operateri nude vođene ture u oblastima poput Nacionalnog parka Sutjeska.",Activities and attractions,ask_hiking
192,English,"""Is Sutjeska National Park good for beginner hikers?""",Da li je Nacionalni park Sutjeska dobar za planinare početnike?,"Yes, it has trails for all skill levels, including beginners.","Da, ima staza za sve nivoe vještine, uključujući početnike.",Activities and attractions,ask_hiking
193,English,"""Are hiking trails in Bosnia well-marked?""",Da li su pješačke staze u Bosni dobro označene?,"Most popular trails are well-marked, but it’s always good to have a map or GPS.","Najpopularnije staze su dobro označene, ali uvijek je dobro imati kartu ili GPS.",Activities and attractions,ask_hiking
194,English,"""What should I bring for a hike in Bosnia?""",Šta da ponesem za planinarenje u Bosni?,"Comfortable shoes, water, snacks, and a map are essential.","Udobne cipele, voda, užina i karta su neophodni.",Activities and attractions,ask_hiking
195,English,"""Are there any cultural festivals in Sarajevo?""",Ima li kulturnih festivala u Sarajevu?,"Yes, the Sarajevo Film Festival and Baščaršija Nights are some of the famous cultural events.","Da, Sarajevo Film Festival i Baščaršijske noći su neki od poznatih kulturnih događaja u Bosni i Hercegovini.",Activities and attractions,ask_culture
196,English,"""Can I watch traditional dance performances in Bosnia?""",Mogu li gledati tradicionalne plesne igre u Bosni?,"Yes, some cultural centers and festivals feature traditional Bosnian dances.","Da, neki kulturni centri i festivali predstavljaju tradicionalne bosanske plesove.",Activities and attractions,ask_culture
197,English,"""What is a must-see cultural site in Mostar?""",Koje kulturno mjesto moram posjetiti u Mostaru?,The Old Bridge and its surrounding Old Town are iconic cultural landmarks.,Stari most i okolna Stara čaršija su ikonični kulturni spomenici.,Activities and attractions,ask_culture
198,English,"""Are museums open on weekends in Bosnia?""",Da li su muzeji otvoreni vikendom u Bosni?,"Most museums are open on weekends, but hours may vary by city.","Većina muzeja je otvorena vikendom, ali radno vrijeme može varirati u zavisnosti od grada.",Activities and attractions,ask_culture
199,English,"""What is the best way to learn about Bosnian culture?""",Koji je najbolji način da se nauči o bosanskoj kulturi?,"Visiting local markets, historical sites, and cultural events are great ways to immerse yourself.","Posjeta lokalnim pijacama, historijskim mjestima i kulturnim događajima odličan je način da se uroni u kulturu.",Activities and attractions,ask_culture
200,English,"""Where is the Old Bridge located?""",Gdje se nalazi Stari most?,"The Old Bridge is in the heart of Mostar, a historic city in Herzegovina.","Stari most se nalazi u srcu Mostara, historijskog grada u Hercegovini.",Activities and attractions,ask_landmarks
201,English,"""Can I visit the Sarajevo Tunnel Museum?""",Mogu li posjetiti Muzej Tunel Sarajevo?,"Yes, the museum is open to visitors and offers a glimpse into Sarajevo’s history.","Da, muzej je otvoren za posjetioce i pruža uvid u historiju Sarajeva.",Activities and attractions,ask_landmarks
202,English,"""What’s the best viewpoint in Sarajevo?""",Koji je najbolji vidikovac u Sarajevu?,"The Yellow Fortress offers stunning views of Sarajevo, especially at sunset.","Žuta tabija nudi zadivljujući pogled na Sarajevo, posebno pri zalasku sunca.",Activities and attractions,ask_landmarks
203,English,"""Is the Gazi Husrev-beg Mosque open to tourists?""",Da li je džamija Gazi Husrev-beg otvorena za turiste?,"Yes, visitors are welcome to explore the mosque outside of prayer times.","Da, posjetioci mogu istražiti džamiju van vremena molitve.",Activities and attractions,ask_landmarks
204,English,"""What’s the significance of the Stari Grad Fortress in Travnik?""",Koji je značaj Starog grada u Travniku?,It’s a well-preserved medieval fortress with historical importance.,To je dobro očuvana srednjovjekovna tvrđava od historijskog značaja.,Activities and attractions,ask_landmarks
205,English,"""What are the best waterfalls to visit in Bosnia?""",Koji su najbolji vodopadi za posjetiti u Bosni?,Kravica Waterfalls and Pliva Waterfalls are stunning natural attractions.,Vodopadi Kravica i Pliva su zadivljujuće prirodne atrakcije.,Activities and attractions,ask_nature
206,English,"""Can I swim in the Kravica Waterfalls?""",Mogu li plivati u vodopadu Kravica?,"Yes, swimming is allowed in designated areas of Kravica Waterfalls.","Da, plivanje je dozvoljeno u označenim područjima vodopada Kravica.",Activities and attractions,ask_nature
207,English,"""Are there national parks in Bosnia?""",Postoje li nacionalni parkovi u Bosni?,"Yes, Sutjeska, Una, and Kozara National Parks are popular destinations.","Da, Nacionalni parkovi Sutjeska, Una i Kozara su popularne destinacije.",Activities and attractions,ask_nature
208,English,"""Where can I see wild animals in Bosnia?""",Gdje mogu vidjeti divlje životinje u Bosni?,Sutjeska National Park and other nature reserves are great for wildlife spotting.,Nacionalni park Sutjeska i drugi prirodni rezervati odlični su za posmatranje divljih životinja.,Activities and attractions,ask_nature
209,English,"""Is rafting available in Bosnia?""",Da li je rafting dostupan u Bosni?,"Yes, rafting on the Neretva, Vrbas and Una Rivers is a popular activity.","Da, rafting na rijekama Neretva, Vrbas i Una je popularna aktivnost.",Activities and attractions,ask_nature
210,English,"""Are there cooking classes for tourists in Sarajevo?""",Postoje li tečajevi kuhanja za turiste u Sarajevu?,"Yes, some local restaurants and tour companies offer Bosnian cooking classes.","Da, neki lokalni restorani i turističke agencije nude časove bosanske kuhinje.",Activities and attractions,ask_food
211,English,"""What is a traditional Bosnian dessert?""",Koji je tradicionalni bosanski desert?,Baklava and tufahija are traditional Bosnian desserts you must try.,Baklava i tufahija su tradicionalni bosanski deserti koje morate probati.,Activities and attractions,ask_food
